rsquared	minus_log10_fvalue	fvalue	min_effect	max_effect	mean_effect	sample	genes	padjust_fvalue	minus_log10_padjust_fvalue	pointsize
0.0057	2.557394821035199	0.0027708000000000003	0.0692	0.9236	0.4964	S4B vs WT 5.vs.5	FIG3K RED	0.005212861016949153	2.2829238538906855	2.0394188527962864
0.0309	13.453951133598265	3.5160000000000005e-14	0.7146	1.4429	1.0788	WT2 vs WT 0.vs.0	FIG3K RED	1.4727396226415096e-13	12.831874028748416	2.2217291473378684
0.0278	12.129063795756043	7.4291e-13	2.3078	4.8702	3.589	WT2 vs WT 2.vs.0	FIG3K RED	2.4988790909090906e-12	11.602254756847273	2.2004784780372786
0.001	0.7344039769124084	0.18433	-0.5443	0.1742	-0.185	WT2 vs WT 2.vs.2	FIG3K RED	0.2351796551724138	0.6286002507443694	2.0108283088694106
0.0138	6.343422708603886	4.5350000000000003e-07	2.0971	6.4494	4.2733	WT2 vs WT 5.vs.0	FIG3K RED	1.2129759036144578e-06	5.916147826529321	2.1022093790200223
0.0005	0.4840202437205716	0.32808000000000004	-0.8167	1.8151	0.4992	WT2 vs WT 5.vs.2	FIG3K RED	0.38652666666666663	0.41282053852009615	2.0070991356114436
0.001	0.7428976673408358	0.18076	-0.5121	0.162	-0.175	WT2 vs WT 5.vs.5	FIG3K RED	0.233306511627907	0.632073139797746	2.0108883284368306
0.1218	45.62479377890067	2.3725e-46	2.6085	3.7119	3.1602	ZFC4mut vs WT 0.vs.0	FIG3K RED	4.3891249999999996e-45	44.35762205049765	2.766567099192762
0.0493	18.321390583441072	4.771e-19	4.3696	7.8618	6.1157	ZFC4mut vs WT 2.vs.0	FIG3K RED	2.9421166666666667e-18	17.53134010975772	2.3029468070305814
0.0339	12.768122812653521	1.7055999999999998e-13	1.4091	2.9056	2.1573	ZFC4mut vs WT 2.vs.2	FIG3K RED	6.010209523809523e-13	12.221110387656465	2.2111737368508466
0.0293	11.115085745101581	7.6721e-12	3.6489	8.0077	5.8283	ZFC4mut vs WT 5.vs.0	FIG3K RED	2.398881971830986e-11	10.619991119370017	2.1835026870725267
0.0071	3.07920382994787	0.00083329	0.4295	3.3104	1.8699	ZFC4mut vs WT 5.vs.2	FIG3K RED	0.0016817307272727273	2.7742435406554566	2.04790999507333
0.0013	0.8150815464475383	0.15308	-0.285	0.9939	0.3544	ZFC4mut vs WT 5.vs.5	FIG3K RED	0.2022842857142857	0.6940378537227626	2.0119592222281177
0.0119	2.5131021799333055	0.0030683000000000004	0.1462	2.0913	1.1187	GFP+Dox vs GFP-Dox RP	NONDOX	0.005724055462184875	2.2422961668751977	2.038716712254947
0.0013	0.4991737026583002	0.31683	-1.0762	2.4403	0.682	KO vs WT RP	NONDOX	0.378151935483871	0.42233367242557784	2.007263544601492
0.0	0.002045995930597039	0.9953	-1.2691	1.2749	0.0029	KO vs WT TQ	NONDOX	0.9953	0.002045995930597039	2.0
0.0021	0.6909876512245731	0.20371	-0.8412	2.4748	0.8168	Sall4a+Dox vs GFP+Dox RP	NONDOX	0.2569523863636364	0.5901473445880843	2.0101637535789663
0.0025	0.7803630891910369	0.16582	-0.5237	1.7392	0.6078	Sall4a+Dox vs Sall4a-Dox RP	NONDOX	0.2165414117647059	0.6644590361186722	2.011448031743737
0.0129	2.7808347781696594	0.0016564	0.2143	2.1402	1.1772	ZFC1-2D vs WT RP	NONDOX	0.003197572173913043	2.495179644072633	2.0430871245185718
0.0005	0.2718086014100532	0.5348	-0.7416	1.2112	0.2348	ZFC4D vs WT TQ	NONDOX	0.5906746268656717	0.2286516843799034	2.003916271204357
0.0437	8.286904449640792	5.165300000000001e-09	1.3226	3.3755	2.3491	ZFC4mut vs WT RP	NONDOX	1.4701238461538463e-08	7.832646077880634	2.135330908167542
0.0112	2.3623701980844354	0.0043414	0.091	1.7771	0.934	ZFC4mut vs WT TQ	NONDOX	0.007965213223140496	2.0988025939502473	2.0362368109272184
0.0027	1.3104336601632147	0.048929	-1.6057	0.2147	-0.6955	GFP+Dox vs GFP-Dox RP	RP ZF12D	0.07389277551020408	1.1313980204607523	2.019517819007615
0.0004	0.3531847223768056	0.44342	-1.2825	2.3675	0.5425	KO vs WT RP	RP ZF12D	0.5022410204081632	0.29908781928264305	2.005133570773284
0.0004	0.3742349660500003	0.42244	-1.4588	0.7665	-0.3462	KO vs WT TQ	RP ZF12D	0.48137569230769234	0.31751584377259995	2.0054520497230275
0.0265	9.268081006521314	5.3941e-10	-4.222	-1.7553	-2.9887	Sall4a+Dox vs GFP+Dox RP	RP ZF12D	1.5966536e-09	8.796789295462375	2.1519935363024754
0.0373	12.81590506910416	1.5279e-13	-4.7653	-2.3159	-3.5406	Sall4a+Dox vs Sall4a-Dox RP	RP ZF12D	5.560554098360655e-13	12.254881929664288	2.2117573873249237
0.0019	1.0371336650593708	0.091805	-0.8462	4.047	1.6004	ZFC1-2D vs WT RP	RP ZF12D	0.13148845161290323	0.8811123887790236	2.0151923035321344
0.0117	4.526659035814065	2.974e-05	0.6069	2.5524	1.5797	ZFC4D vs WT TQ	RP ZF12D	7.023702127659575e-05	4.1534339149631245	2.0717455994890406
0.0284	10.367856647106285	4.2868999999999994e-11	1.0059	2.2829	1.6444	ZFC4mut vs WT RP	RP ZF12D	1.3036873972602737e-10	9.884826532776101	2.170797340085685
0.0104	4.0952682298258205	8.030300000000001e-05	0.3912	1.8586	1.1249	ZFC4mut vs WT TQ	RP ZF12D	0.00017477711764705883	3.7575154271370996	2.064903210916379
0.0002	0.2626324020896983	0.5462199999999999	-0.7147	1.1515	0.2184	GFP+Dox vs GFP-Dox RP	RP ZFC4	0.6003011881188118	0.22163079708568337	2.003794934008775
0.0985	39.64909328446214	2.2433999999999995e-40	7.3047	10.7054	9.0051	KO vs WT RP	RP ZFC4	3.3202319999999994e-39	38.47883156906718	2.6649679820813477
0.0819	32.26518417459222	5.430199999999999e-33	4.5888	7.0418	5.8153	KO vs WT TQ	RP ZFC4	6.344759999999999e-32	31.19758480109441	2.5391311716978007
0.0557	21.307267615667488	4.9287e-22	-6.2999	-3.6731	-4.9865	Sall4a+Dox vs GFP+Dox RP	RP ZFC4	4.2083515384615384e-21	20.375887989187667	2.352107183479464
0.0937	35.919193195665635	1.2045e-36	-6.9251	-4.627	-5.7761	Sall4a+Dox vs Sall4a-Dox RP	RP ZFC4	1.67124375e-35	34.77696020387092	2.6009910698998397
0.0436	17.552826458417538	2.8001e-18	1.3968	2.5513	1.9741	ZFC1-2D vs WT RP	RP ZFC4	1.5939030769230766e-17	16.7975380909934	2.290265008372078
0.085	33.5114915869704	3.0797e-34	3.5723	5.4334	4.5029	ZFC4D vs WT TQ	RP ZFC4	3.7982966666666666e-33	32.42041111762307	2.5602644429943964
0.1822	75.92186956919744	1.1970999999999998e-76	8.0792	10.5411	9.3102	ZFC4mut vs WT RP	RP ZFC4	6.643904999999999e-75	74.17757658607476	3.281924988317588
0.1246	49.71096876486024	1.9455000000000002e-50	4.5105	6.3181	5.4143	ZFC4mut vs WT TQ	RP ZFC4	5.398762500000001e-49	48.267705777401545	2.8341424032863474
0.0122	12.860656243847625	1.3783e-13	-2.0617	-0.999	-1.5304	GFP+Dox vs GFP-Dox RP	DOX	5.09971e-13	12.29245451978063	2.212406728715039
0.0275	27.847834009324444	1.4195999999999999e-28	3.0802	4.9281	4.0042	KO vs WT RP	DOX	1.5007199999999998e-27	26.823700329607725	2.4635403163927756
0.026	26.19990870142755	6.3108999999999994e-27	2.1803	3.5441	2.8622	KO vs WT TQ	DOX	6.091390434782608e-26	25.215283562994504	2.435743148939491
0.1046	108.64814573952125	2.2482999999999995e-109	-10.2513	-8.1733	-9.2123	Sall4a+Dox vs GFP+Dox RP	DOX	2.4956129999999996e-107	106.6028227607346	3.842308351846487
0.1132	118.07362668045641	8.440599999999998e-119	-10.8565	-8.7423	-9.7994	Sall4a+Dox vs Sall4a-Dox RP	DOX	1.8738131999999997e-116	115.72727370600578	4.0
0.0157	16.146016002153612	7.144699999999999e-17	1.1881	2.2436	1.7159	ZFC1-2D vs WT RP	DOX	3.7764842857142853e-16	15.422912318100872	2.2665082908422347
0.0275	27.70140888870243	1.9887999999999999e-28	1.8971	3.0394	2.4683	ZFC4D vs WT TQ	DOX	2.00688e-27	26.697478595074	2.461358912440822
0.1009	103.19665215457027	6.358399999999998e-104	3.9756	5.0177	4.4966	ZFC4mut vs WT RP	DOX	4.705215999999998e-102	101.3274204348393	3.751137179747147
0.0461	46.15141065413083	7.0564999999999995e-47	2.2515	3.2206	2.736	ZFC4mut vs WT TQ	DOX	1.566543e-45	44.80505767968019	2.774299823302037
0.0012	1.6767685318852257	0.021049000000000002	-0.0379	0.6874	0.3248	GFP+Dox vs GFP-Dox RP	TQ KO	0.03410859854014599	1.4671361245909937	2.0253201511485615
0.0033	4.1962015920103255	6.365e-05	0.5234	2.4155	1.4694	KO vs WT RP	TQ KO	0.00014567319587628869	3.836620351825932	2.0662703272531386
0.0003	0.600620521847371	0.25083	-0.51	1.33	0.41	KO vs WT TQ	TQ KO	0.3051590163934426	0.5154737936180238	2.0088732216448726
0.0132	14.26763036831848	5.3997e-15	-2.4387	-1.2326	-1.8356	Sall4a+Dox vs GFP+Dox RP	TQ KO	2.4973612499999996e-14	13.602518631243429	2.2350476711851615
0.0216	22.96177736163128	1.092e-23	-2.9958	-1.7767	-2.3862	Sall4a+Dox vs Sall4a-Dox RP	TQ KO	1.0100999999999999e-22	21.99563562889225	2.380100174666528
0.0167	18.61095801750284	2.4493000000000003e-19	0.9992	1.7972	1.3982	ZFC1-2D vs WT RP	TQ KO	1.599248823529412e-18	17.796083960094453	2.3075221940153448
0.0143	16.286425462227932	5.171e-17	0.8889	1.6737	1.2813	ZFC4D vs WT TQ	TQ KO	2.869905e-16	15.542132479105254	2.2685686913852012
0.0511	55.92730904498713	1.1821999999999998e-56	2.1914	3.0282	2.6098	ZFC4mut vs WT RP	TQ KO	4.374139999999999e-55	54.35910732092014	2.9394159320415345
0.0259	29.00085205246899	9.980399999999999e-30	1.2445	1.9714	1.608	ZFC4mut vs WT TQ	TQ KO	1.1078243999999998e-28	27.95552907368233	2.483100938851176
0.0027	1.6412468602384793	0.022843000000000002	-1.6202	0.1003	-0.76	GFP+Dox vs GFP-Dox RP	TQ ZFC4	0.0367474347826087	1.4347729721890772	2.0247608409092592
0.0355	16.185352930548145	6.526e-17	4.1078	7.7262	5.917	KO vs WT RP	TQ ZFC4	3.533590243902439e-16	15.45178381281724	2.2670072571486775
0.0289	13.920710193901341	1.2003e-14	2.6489	5.2779	3.9634	KO vs WT TQ	TQ ZFC4	5.438093877551021e-14	13.264553299479216	2.2292068473915645
0.0924	41.0866206593903	8.1918e-42	-8.2056	-5.6352	-6.9204	Sall4a+Dox vs GFP+Dox RP	TQ ZFC4	1.2989854285714287e-40	39.8863957206179	2.6892939510926523
0.1038	46.33622371551214	4.6108e-47	-8.7366	-6.1462	-7.4414	Sall4a+Dox vs Sall4a-Dox RP	TQ ZFC4	1.1373306666666667e-45	44.94411325050083	2.7767030256732435
0.002	1.3274588336060187	0.047048	-0.3181	2.4562	1.069	ZFC1-2D vs WT RP	TQ ZFC4	0.0715387397260274	1.1454587149398172	2.0197608203783153
0.0723	34.327569618305034	4.7036e-35	5.7146	8.6579	7.1863	ZFC4D vs WT TQ	TQ ZFC4	6.1423482352941185e-34	33.21166556523267	2.5739391527057816
0.1283	58.85689147723749	1.3902999999999996e-59	5.8902	8.0176	6.9539	ZFC4mut vs WT RP	TQ ZFC4	6.1729319999999984e-58	57.20950850712287	2.988677467190012
0.092	43.84109497881246	1.4418e-44	5.3025	7.6248	6.4636	ZFC4mut vs WT TQ	TQ ZFC4	2.4621507692307692e-43	42.60868535666865	2.7363414218977367
